filename,store,put,wrtmp,loadg,storeg,cas,sucessors,predecessors
gcc_coreutils8.31_O0_test,1826,10134,19288,0,0,0,2541,2541
gcc_coreutils8.31_O2_nproc,1260,7931,12207,0,0,0,1729,1729
gcc_coreutils8.31_O0_b2sum,3565,18454,30639,0,0,0,3971,3971
gcc_coreutils8.31_O2_paste,1337,8062,12535,0,0,0,1831,1831
gcc_coreutils8.31_O3_pathchk,2752,15324,19698,0,0,0,2636,2636
gcc_coreutils8.31_O2_pr,2744,19852,35924,0,0,0,4957,4957
gcc_coreutils8.31_O1_shuf,1990,12245,20518,0,0,0,3304,3304
gcc_coreutils8.31_O0_false,1340,6618,11167,0,0,0,1470,1470
gcc_coreutils8.31_O3_id,3265,18336,24213,0,0,0,3543,3543
gcc_coreutils8.31_O0_pr,3610,18792,38178,0,0,0,4980,4980
gcc_coreutils8.31_O3_cp,6777,42398,71722,0,0,0,9483,9483
gcc_coreutils8.31_O3_numfmt,3698,24197,41813,0,0,0,5070,5070
gcc_coreutils8.31_O2_shuf,2329,15606,23859,0,0,0,3566,3566
gcc_coreutils8.31_O0_split,2744,14335,24680,0,0,0,3743,3743
gcc_coreutils8.31_O0_chown,3367,18956,34256,0,0,0,4851,4851
gcc_coreutils8.31_O0_comm,1812,9166,16097,0,0,0,2152,2152
gcc_coreutils8.31_O1_df,3300,22826,41038,0,0,0,6519,6519
gcc_coreutils8.31_O0_mktemp,2247,10673,18467,0,0,0,2422,2422
gcc_coreutils8.31_O2_tee,1404,8384,12643,0,0,0,1839,1839
gcc_coreutils8.31_O0_md5sum,2238,11017,21679,0,0,0,2531,2531
gcc_coreutils8.31_O3_printf,3678,22256,32986,0,0,0,4538,4538
gcc_coreutils8.31_O2_chgrp,2699,18279,29325,0,0,0,4570,4570
gcc_coreutils8.31_O1_unexpand,1228,6861,11396,0,0,0,1833,1833
gcc_coreutils8.31_O3_kill,2849,15968,21200,0,0,0,2845,2845
gcc_coreutils8.31_O2_mv,5437,36196,60587,0,0,0,9090,9090
gcc_coreutils8.31_O3_join,3608,22259,29188,0,0,0,4378,4378
gcc_coreutils8.31_O2_nohup,1411,8292,12741,0,0,0,1824,1824
gcc_coreutils8.31_O2_base32,1461,9430,14984,0,0,0,2118,2118
gcc_coreutils8.31_O3_vdir,6919,51317,89592,0,0,0,12066,12066
gcc_coreutils8.31_O1_mkdir,2055,12788,23625,0,0,0,3547,3547
gcc_coreutils8.31_O0_dirname,1416,7021,11869,0,0,0,1571,1571
gcc_coreutils8.31_O0_uname,1417,7087,12082,0,0,0,1633,1633
gcc_coreutils8.31_O3_truncate,2918,16806,21974,0,0,0,3078,3078
gcc_coreutils8.31_O3_nproc,2823,16038,20994,0,0,0,2815,2815
gcc_coreutils8.31_O3_echo,2724,15224,19702,0,0,0,2611,2611
gcc_coreutils8.31_O2_df,3642,26395,44771,0,0,0,6593,6593
gcc_coreutils8.31_O0_tail,3586,21177,36993,0,0,0,5497,5497
gcc_coreutils8.31_O2_stty,2443,17130,27455,0,0,0,4315,4315
gcc_coreutils8.31_O0_tee,1703,8444,14513,0,0,0,1973,1973
gcc_coreutils8.31_O1_tee,1251,6869,11631,0,0,0,1769,1769
gcc_coreutils8.31_O2_nice,1211,7774,12111,0,0,0,1702,1702
gcc_coreutils8.31_O3_mktemp,3347,18449,24786,0,0,0,3358,3358
gcc_coreutils8.31_O0_od,2889,14144,26190,0,0,0,3316,3316
gcc_coreutils8.31_O1_truncate,1245,6887,11630,0,0,0,1852,1852
gcc_coreutils8.31_O2_vdir,4740,37595,68587,0,0,0,9467,9467
gcc_coreutils8.31_O3_base64,2997,17514,23527,0,0,0,3175,3175
gcc_coreutils8.31_O3_mknod,2858,16659,22377,0,0,0,2978,2978
gcc_coreutils8.31_O2_od,2761,18621,30020,0,0,0,4230,4230
gcc_coreutils8.31_O3_basenc,3405,20854,31332,0,0,0,3899,3899
gcc_coreutils8.31_O3_runcon,2697,14855,18897,0,0,0,2507,2507
gcc_coreutils8.31_O1_stty,2452,15212,26087,0,0,0,4461,4461
gcc_coreutils8.31_O2_cksum,1252,7450,11380,0,0,0,1563,1563
gcc_coreutils8.31_O1_chroot,1398,7648,13008,0,0,0,2126,2126
gcc_coreutils8.31_O3_od,4453,27620,40464,0,0,0,5517,5517
gcc_coreutils8.31_O2_chroot,1554,9379,14468,0,0,0,2209,2209
gcc_coreutils8.31_O0_fold,1632,8041,13725,0,0,0,1904,1904
